所属板块,板块涨跌幅,主力净流入,主力净流入占比,资金排名,板块资金标签,隔夜建议,板块股票数,板块上涨数,板块平均涨跌幅,龙头涨幅,板块广度,板块近5日平均涨幅,板块近5日样本数,板块近5日排名,板块当日资金排名,板块数据状态,生成时间,板块轮动状态,板块操作建议,DS盘面判断,DS操作指引,DS风险提示,DS固定持仓提示,DS状态
其他电源设备Ⅱ,1.24,112388016.0,2.33,22,资金流入,优先观察,24,6,-1.58,5.4,25.0,-0.56,24,56,22,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
综合电力设备商,3.9,95581879.0,8.42,24,资金流入,优先观察,2,1,-0.22,2.68,50.0,2.17,2,24,24,强,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
电网自动化设备,2.12,86298669.0,3.2,25,资金流入,优先观察,26,9,-0.73,7.26,34.62,0.19,26,47,25,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他化学制品,0.82,81043308.0,3.1,26,资金流入,优先观察,69,10,-2.02,8.96,14.49,-1.2,69,73,26,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
金属新材料,1.66,74288306.0,2.08,27,资金流入,优先观察,18,6,-0.4,6.15,33.33,4.78,18,7,27,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
输变电设备,2.49,69423056.0,1.24,28,资金流入,优先观察,26,11,-0.01,7.98,42.31,-1.38,26,83,28,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
白酒Ⅲ,-0.56,68136272.0,1.79,30,资金流入,资金流入但价格弱，谨慎,19,17,1.64,4.8,89.47,0.5,19,45,30,强,2026-09-07 09:26:20,低位轮动,只等回踩确认,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
磁性材料,0.96,58260904.0,4.58,35,资金流入,优先观察,15,4,-2.96,4.9,26.67,5.86,15,5,35,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
房屋建设Ⅱ,1.48,43882302.0,5.59,38,资金流入,优先观察,7,1,-1.32,1.92,14.29,-2.27,7,111,38,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
农林牧渔,0.8,43402352.0,1.06,40,资金流入,优先观察,42,9,-1.2,4.56,21.43,-2.79,42,132,40,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
配电设备,1.57,39914409.0,3.17,41,资金流入,优先观察,25,10,0.77,10.03,40.0,1.19,25,34,41,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
环保设备Ⅱ,2.18,36994995.0,2.39,42,资金流入,优先观察,22,3,-1.98,10.01,13.64,-1.25,22,76,42,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
电机Ⅱ,2.06,32239470.0,1.08,49,资金流入,优先观察,25,8,-2.6,6.18,32.0,-0.66,25,58,49,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
互联网电商,0.41,31597380.0,2.75,51,资金流入,优先观察,8,3,-0.74,2.82,37.5,-2.22,8,108,51,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
环境治理,1.29,29798729.0,0.88,52,资金流入,优先观察,99,17,-1.86,6.85,17.17,-1.86,99,94,52,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
非运动服装,0.28,26884709.0,2.61,56,资金流入,优先观察,31,3,-2.63,4.01,9.68,-3.84,31,163,56,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
轨交设备Ⅱ,1.06,24427994.0,2.76,60,资金流入,优先观察,28,3,-2.36,4.08,10.71,-3.15,28,142,60,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
航天装备Ⅱ,2.11,17828000.0,1.48,74,资金流入,优先观察,9,0,-2.2,-0.51,0.0,-1.58,9,88,74,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
火电设备,2.31,16462360.0,3.92,77,资金流入,优先观察,3,2,1.13,5.54,66.67,3.6,3,18,77,强,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
光伏加工设备,0.16,15442943.0,1.6,80,资金流入,优先观察,8,1,-1.36,9.97,12.5,0.58,8,44,80,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
燃气Ⅲ,1.62,14039532.0,1.33,81,资金流入,优先观察,28,4,-1.53,10.02,14.29,-3.37,28,148,81,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
管材,2.03,13686569.0,5.55,83,资金流入,优先观察,5,0,-4.18,-2.2,0.0,-4.75,5,185,83,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
车身附件及饰件,0.27,13372281.0,0.84,84,资金流入,优先观察,36,8,-2.38,11.86,22.22,-1.42,36,85,84,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
保险Ⅱ,-0.34,13055615.0,0.81,86,资金流入,资金流入但价格弱，谨慎,5,2,-0.45,3.34,40.0,0.31,5,46,86,谨慎,2026-09-07 09:26:20,低位轮动,只等回踩确认,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
医疗服务,-0.03,11948784.0,0.17,88,资金流入,资金流入但价格弱，谨慎,29,10,-0.33,9.85,34.48,-3.97,29,164,88,谨慎,2026-09-07 09:26:20,低位轮动,只等回踩确认,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
光伏主材,1.56,11743274.0,2.07,89,资金流入,优先观察,3,1,-1.1,0.2,33.33,-3.8,3,162,89,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
港口,1.0,10437695.0,1.28,92,资金流入,优先观察,16,1,-1.9,1.51,6.25,-2.61,16,124,92,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
能源及重型设备,1.17,10070194.0,0.31,95,资金流入,优先观察,53,9,-2.83,10.0,16.98,-4.09,53,168,95,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他黑色家电,-0.37,10032263.0,4.08,96,资金流入,资金流入但价格弱，谨慎,6,0,-3.01,-0.92,0.0,-5.76,6,193,96,谨慎,2026-09-07 09:26:20,低位轮动,只等回踩确认,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
仓储物流,0.83,8326693.0,8.9,100,资金流入,优先观察,6,1,-2.44,1.22,16.67,-3.32,6,147,100,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
教育,0.83,7722886.0,0.71,103,资金流入,优先观察,8,2,-1.45,5.19,25.0,-0.73,8,60,103,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
期货,1.41,7399920.0,6.29,104,资金流入,优先观察,4,0,-3.59,-1.33,0.0,-5.02,4,189,104,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
大众出版,-0.1,7141009.0,1.17,105,资金流入,资金流入但价格弱，谨慎,17,1,-1.45,3.52,5.88,-2.75,17,129,105,谨慎,2026-09-07 09:26:20,低位轮动,只等回踩确认,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
旅游零售Ⅲ,0.71,6439487.0,1.05,111,资金流入,优先观察,2,0,-1.17,-0.53,0.0,-2.02,2,97,111,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
检测服务,-0.06,5695003.0,0.71,114,资金流入,资金流入但价格弱，谨慎,21,6,-2.73,2.41,28.57,-4.05,21,166,114,谨慎,2026-09-07 09:26:20,低位轮动,只等回踩确认,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
视频媒体,-0.49,3732221.0,4.19,120,资金流入,资金流入但价格弱，谨慎,1,1,0.11,0.11,100.0,-3.69,1,155,120,强,2026-09-07 09:26:20,低位轮动,只等回踩确认,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
